SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
12613247	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ CITROEN C4 PICASSO 2007-- 350 mm						
12613248	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN C4 H/B 5 KAPI 2004-2010 305 mm						
12613249	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN C4 MK2 2010-- 295 mm						
12613253	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN C3 MKI 2002-2009 360 mm						
12613415	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN C4 HB 5D B5 12" 305mm  ***FISKİYELİ						
12613416	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN DS3 A55 2009-2015 11" 290mm						
12613417	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN C3 II A51 2009-2016 12" 305mm						
12613418	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN C3 PICASSO 09-- 290 mm						
12613421	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ CITROEN C4 CACTUS E3 2014--> 9" 242mm		6422.37				
12614362	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA CR-V SUV  ( RT-RW ) 2018-- 315 mm						
12614363	MITSUBISHI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MITSUBISHI OUTLANDER ( CW0 ) 2007-- 350 mm						
12614364	MITSUBISHI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MITSUBISHI COLT ( Z30 ) 2004--> 350 mm						
12614365	MITSUBISHI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MITSUBISHI PAJERO SPORT ( KH0 ) 2008-- 305 mm		12614365				
12614366	MITSUBISHI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MITSUBISHI ASX SUV ( GA0 ) 2010-->  250 mm						
12615356	DACIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DACIA LODGY 2012-- 290 mm						
12615357	DACIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DACIA SANDERO  2008-->     405 mm						
12615358	DACIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DACIA DUSTER 2010-- 350 mm						
12615359	DACIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DACIA LOGAN MCV 2007-2012 305 mm						
12615360	DACIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DACIA DOKKER 2012-->   260 mm		287811491R 287904430R 8200543237				
12615361	DACIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DACIA SANDERO II 2010-->  290 mm						
12616234	KIA NISSAN HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA SPORTAGE I  1993-->  & NISSAN QASHQAI 2007-->  & HYUNDAI TUCSON 2004-2010   305 mm						
12616235	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA RIO III 5 KAPI 2011-->   275 mm		988152F000				
12616236	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA CEED 2006-2012 ( BURÇLU )  305 mm						
12616237	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA SPORTAGE MK2 2010- 290 mm						
12616403	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA CERATO ( TD ) 2008-- 350 mm						
12616404	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA SORENTO II ( XM ) 2010-2016 275 mm						
12616578	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA PICANTO 2004-- 305 mm						
12616609	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA SORENTO 2016-->  305mm		12616609				
12616610	KIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ KIA RIO 2017-->  275mm		12616610				
12617212	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN QASHQAI 2008-2013 JUKE F15 05,2014-->  305 mm						
12617213	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN NOTE 2006-2016  305 mm						
12617214	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NİSSAN X-TRAIL 2007-2013 350 mm						
12617215	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN JUKE 2010--> & X-TRAIL 2018-->   305 mm						
12617216	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN QASHQAI +2 I 2006-2013   305 mm						
12617217	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN X-TRAIL 2014-- 300 mm						
12617218	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN MICRA K12 HB 2012-- 410 mm						
12617219	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN QASHQAI II SUV J11 2013-- 305 mm						
12617379	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN X-TRAIL ( T30 ) 2001-->  400 mm						
12617380	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN PATHFINDER III ( R51 ) 2005-- 330 mm						
12617381	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN PULSAR C13 2014> 12" 305mm						
12617382	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ NISSAN MICRA K12E   2002-2005     305mm						
12617579	NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  NISSAN MICRA -MARC K13 2010-- 305 mm		12617579				
12619443	CHEVROLET	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ CHEVROLET CAPTIVA C100 - C140   2006--> 12" 305mm						
12619444	CHEVROLET	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ CHEVROLET AVEO T300 2011-->   275mm						
12620344	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA FABIA II  2006-2013   325 mm		1T0955707 1T0955707C 7E0955425 7M3955435				
12620345	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA FABIA 1999-2008 365 mm						
12620346	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA YETI 2009--280 mm						
12620347	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA RAPID 2012-- SUPER B III 2015--  400 mm  *** YANDAN FISKİYELİ		5JA955425 5JA955435 5JA955707A				
12620348	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA FABIA III  2014-- 350 mm						
12620349	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA RAPİD 2014-->  420 mm						
12620350	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA OCTAVIA 2004-2013 410 mm		1Z5955435A 1Z5955707A 7E0955425				
12620491	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA ROOMSTER  2006-2015   325mm  ***FISKİYELİ						
12620492	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA CITIGO 2011-->    260mm						
12620493	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA SUPERB 2010-->  405mm ***FISKİYELİ						
12620494	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA KODIAQ NU7 2017---> 360mm						
12620495	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA KAROQ  2017-->    340mm						
12620496	SKODA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SKODA OCTAVIA 2017--> 325mm						
12621375	SUZUKI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SUZUKI SWIFT III 2005-->  250 mm						
12621376	SUZUKI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  SUZUKI SX4 SUV 2006-->    250 mm						
12621377	SUZUKI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SUZUKI SPLASH 2008-->  250 mm						
12621378	SUZUKI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SUZUKI VITARA ( LY ) 2015-- 250 mm						
12621509	SUZUKI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SUZUKI SWIFT IV  2010-->   240 mm						
12622352	SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  SEAT IBIZA IV 2011--> 350 mm		6Q6955425A 6Q6955435D 6Q6955707C				
12622353	SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SEAT IBIZA  1993-2009   350 mm						
12622354	SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SEAT IBIZA 2008-2011 &  ALTEA 2004-2009   350mm						
12622355	SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SEAT LEON 2012-->   330 mm		5K6955427A  5K0955435  5K6955707B				
12622498	SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SEAT LEON 2005-2009  275mm  ***FISKİYELİ						
12622520	SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SEAT ALTEA & LEON 2004-2015 330 mm SİLGİ 440 mm KOL						
12622586	SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SEAT LEON 2005-2012   300 mm		12622586 5P0955427 / 5P0955435B / 5P0955707B / 12655286				
12624284	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC90 2015-->  350mm						
12624285	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO V40 2012-->   275mm						
12624286	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC90 2002-2010 360mm						
12624451	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC90 I  2007-2016   370 mm						
12624452	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC90 I   2007-2016  390 mm						
12624453	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC60 I 2008-->  390 mm						
12624454	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC60 I 2009-->    350mm						
12624455	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO V60  2010-2018    310 mm						
12624456	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO V60   2010-2015   305mm						
12624507	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO C30   2006-2012   390 mm						
12624517	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC90 II 2015-->  350 mm						
12624591	VOLVO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VOLVO XC70 I 02-07 370 mm		12624591 8662751 - 9139570 - 9483518 - 12624591				
12625383	MAZDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MAZDA 2 II ( DY ) 2003-->   350 mm						
12625384	MAZDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MAZDA 3 ( BK ) 2005-2009  350 mm						
12625385	MAZDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MAZDA 2 II ( DE ) 2007-->  350 mm						
12625386	MAZDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MAZDA 3 ( BL ) 2009-->  350 mm						
12625387	MAZDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MAZDA CX5 ( KE,GH ) 2011-2015   350 mm						
12625388	MAZDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MAZDA 3 ( BM ) 2013-->  305 mm						
12625389	MAZDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MAZDA CX3 ( DK ) 2015-->   260 mm						
12631338	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI Q7 2006-2015 330 mm						
12631339	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI A3 2003-2013   330 mm						
12631340	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI Q7 2015-->    390 mm		4M0955407A				
12631473	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI Q5  2008-->   305mm						
12631474	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI A1  2010-->  350mm						
12631501	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI Q3  2011-->  405mm						
12631502	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  AUDI A3  2013--> 350mm						
12631518	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  AUDI Q2 2016-->   330 mm						
12631615	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI Q7 2016-->  365mm		12631615				
12631616	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI Q2 2016-->   320mm		12631616				
12631622	AUDI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ AUDI Q8 2008-->  400mm		12631622 8K9955425 - A402H425				
12633337	LAND ROVER	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ LAND ROVER RANGE ROVER SPORT 2003-2013 405 mm						
12633470	LAND ROVER	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ LAND ROVER FREELANDER I  1997-->  ***SU FISKİYE HORTUMLU  350mm						
12633471	LAND ROVER	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ LAND ROVER DISCOVERY III 2005-2009 & & DISCOVERY IV 2010-->    405mm						
12634341	JEEP	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ JEEP GRAND CHEROKEE 2005-2011  350mm						
12634342	JEEP	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ JEEP GRAND CHEROKEE 2003-2013   305mm		68079868AA 68079869AA				
12634343	JEEP	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ JEEP GRAND CHEROKEE 2013-->  280 mm						
12634485	JEEP	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ JEEP WRANGLER JK 2007-2014   ***FISKİYELİ   350mm						
12634486	JEEP	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ JEEP RENEGADE 2014-->/ EGEA HB-SW-CROSS 2016-->   275mm		52015974				
12634487	JEEP	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ JEEP COMPASS 2017-->  250mm						
12634625	JEEP	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ JEEP CHEROKEE 98-01 330mm ***FISKİYELİ		12634625				
12635351	PORSCHE	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PORSCHE CAYENNE 2010-2018   360 mm						
12635497	PORSCHE	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PORSCHE CAYENNE 2002-2010   360mm						
12637423	SUBARU	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SUBARU FORESTER 2002-->   350 mm						
12637424	SUBARU	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SUBARU IMPREZA  2000-->   350 mm						
12637426	SUBARU	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ SUBARU XV SUV 2012-->   305 mm						
12638462	LANCIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ LANCIA DELTA III  2008-->   285mm						
12638463	LANCIA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ LANCIA VOYAGER RT  2011-->    410mm						
12639488	DAHIATSU	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DAHIATSU SIRION II  2004-->   350mm						
12639489	DAHIATSU	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DAHIATSU MATERIA 2006> 12" 305mm						
12639490	DAHIATSU	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ DAHIATSU TERIOS  2006-->   305mm						
12640506	CHEVROLET	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ CHEVROLET MATIZ 2005-2010   305 mm						
44-1001	MINI CITROEN	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ BMW MINI COUNTRYMAN F60 09,2016> CITROEN C5		12104149 12604334				
44-1002	RENAULT PEUGEOT CITROEN	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ RENAULT KANGO II III MEGANE III PEUGEOT 206 207 406 CITROEN C4 PICASSO   400 MM		12201916				
44-1004	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT KANGOO 2000---  ***TEK KAPI		7701043992				
44-1007	RENAULT FIAT	KOL	ÖN SİLECEK KOLU RENAULT R12 E.M  MURAT SERÇE ANADOL   *** FREZELİ  *** GEÇMELİ		12504001				
44-1008	RENAULT	KOL	ÖN SİLECEK KOLU RENAULT R12 YM. ***FREZELİ *** KANCALI		12504003				
44-1009	RENAULT	KOL	ÖN SİLECEK KOLU RENAULT R12 & TOROS  YM ***VİDALI  *** KANCALI		12504013				
44-1010	RENAULT	KOL	ÖN SİLECEK KOLU RENAULT R9-11  EM		12504011				
44-1011	RENAULT	KOL	ÖN SİLECEK KOLU RENAULT R9-11 YM		12504019				
44-1012	RENAULT	KOL	ÖN SİLECEK KOLU RENAULT R19 SOL		12504722				
44-1013	RENAULT	KOL	ÖN SİLECEK KOLU RENAULT R19 SAĞ		7702127723				
44-1100	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FİAT DOBLO 2006---						
44-1101	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FİAT TEMPRA 1991---		1273090				
44-1102	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT TEMPRA SW  FIAT UNO		WIN-14-NR406				
44-1103	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT PALİO		WIN-14-NR408				
44-1104	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT PALİO SW		WIN-14-NR409				
44-1105	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT DOBLO  2000-2016 ****( METAL TEK KAPI )		12205854				
44-1106	FIAT	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ FİAT PALIO FIAT PUNTO 1999-2012    325mm		AEM20 1713S 7799402				
44-1107	FIAT	KOL	ÖN SİLECEK KOLU FIAT MURAT M131 EM.		12505002				
44-1108	FIAT	KOL	ÖN SİLECEK KOLU FIAT DOĞAN-KARTAL-ŞAHİN		12505005				
44-1109	FIAT	KOL	ÖN SİLECEK KOLU SERÇE 1993---  DODGE AS 250-900  1991---		12505007				
44-1112	FIAT MERCEDES VOLKSWAGEN OPEL PORSCHE LAND ROVER	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ FIAT DOBLO II TEK KAPI  2010--> MERCEDES VİTO 2003--SPRINTER 2006-- VW CRAFTER RENAULT TRAFIC III 2014-- OPEL COMBO 2012-- PORSCHE MACAN PANAMERA RANDE ROVER  IV / SPORT 2016--  400mm		12105053				
44-1114	FIAT PEUGEOT CITROEN	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ FIAT FIORINO PEUGEOT NEMO CITROEN BIPPER ( TEK KAPI ) 380mm		96-22				
44-1201	FIAT CITROEN PEUGEOT DACIA FORD RENAULT VOLVO	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ GİULİETTA 2010--> FIAT STİLO BERLİNGO PARTNER DUSTER FORD TOURNEO CONNECT  P206 P208 P307 RIFTER CLİO III LAGUNA II MEGANE I SW MEGANE III VOLVO XC60 I 350mm		12201914				
44-1202	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 206 207 306 307						
44-1204	PEUGEOT CITROEN	KOL	ARKA SİLECEK KOLU PEUGEOT PARTNER & CITROEN BERLİNGO		WIN-14-NR405				
44-1205-2	PEUGEOT OPEL RENAULT DACIA CITROEN CHRYSLER	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ ASTRA G CORSA C MGN I SCENIC I TRAFFIC II CLİO II SANDERO MICRA XSARA C5 P306 CHRYLER VOYAGER  400mm		12201917 7711130022 - 6426.HJ / CQ -				
44-1206	PEUGEOT	KOL	ÖN SİLECEK KOLU PEUGEOT J9 1991--->  ***CİVATALI		12511062				
44-1207	CITROEN TOYOTA	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ CITROEN C1   TOYOTA YARIS  300mm		96-91				
44-1301	AUDI CITROEN OPEL VOLVO	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ AUDI Q3 2019-- CITROEN C5 I 2004--- OPEL VECTRA C VOLVO C30 2006-- 400mm		12107314				
44-1305	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL ASTRA G		1273389				
44-1500	VOLKSWAGEN	KOL	ARKA SİLECEK KOLU VW POLO HB 1995-- ( PLASTİK )		6N0955707A				
44-1501	VOLKSWAGEN	KOL	ARKA SİLECEK KOLU VW POLO HB 1999-- ( METAL )		6N0955707B				
44-1502	VOLKSWAGEN AUDI MERCEDES BMW	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ  AUDI A3 2012-->  Q5 2008--> MERCEDES B SERİSİ W247 2018--> BMW X2 F39 F48 2015-->  350 MM		6Q6955707C HLW.2123				
44-1503	VOLKSWAGEN	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ METAL TELLİ TİP VW POLO HB  280mm ( DAR KANCALI )		6X0955425D				
44-1504	VOLKSWAGEN	KOL	ARKA SİLECEK KOLU VW GOLF IV ( METAL )		1J6955707A				
44-1505	VOLKSWAGEN SEAT SKODA	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW GOLF VI 2008--> GOLF VII 2013--> POLO VI 2009--> SEAT ATECA 2016--> SKODA YETI 2009-->  280mm		12106297 7H0955707A 12606265 12606269 12620346				
44-1506	VOLKSWAGEN SEAT VOLVO	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW GOLF V 2003-- POLO V 2005-- TIGUAN 2007-- SEAT EXEO 2009-- VOLVO XC60 II 2017--  330mm		12106298				
44-1507	VOLKSWAGEN SKODA	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW CADDY 2004--> TOURAN 2003--> TRANSPORTER T5 2003--> SKODA FABIA II 2006--> OCTAVIA II 2004--> 400 MM		96-10 12106299				
44-1508	VOLKSWAGEN SEAT VOLVO FORD	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW POLO V 2005-- PASSAT B6 B7 2005-- SEAT LEON 2005-- VOLVO V40 II 2012-- FORD KUGA 2012-- 275mm		12106296 3397008045 3C955425 61629809964				
44-1509	VOLKSWAGEN SEAT SKODA	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW TIGUAN II 2016--> TOUAREG 2017-- SEAT LEON 2012-- SKODA OCTAVIA III 2012-- SEAT TARRACO 2018--   380mm		12106291 3397016087  5NA955427				
44-1510	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  VW POLO 2002--  GOLF I 1974-- GOLF II 1983-- GOLF III 1992---						
44-1512	VOLKSWAGEN AUDI PORSCHE	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW TOUAREG 2010-- AUDI A1 2010--> A4 AVANT 2015--  Q5 2016-- Q7 2015-- PORSCHE CAYANE 2010-- 380mm		12106292 7P6955427 8X3955425 3397008997				
44-1513	VOLKSWAGEN SEAT SKODA	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW SCIROCCO 2008-- SEAT MII 2012--> SKODA CITIGO 2012-->   250mm		12106293 1K9955427  3397008058				
44-1514	VOLKSWAGEN SEAT SKODA	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW CADDY 2015-- VW TRASPORTER T6 2015-- SEAT LEON 2012-- TOLEDO IV 2012-- FABİA 2006-- RAPID 2012-- SCALA 2019-- SUPER B II2008-- 400mm		12106294				
44-1515	VOLKSWAGEN SEAT SKODA	ARKA SUPURGE	ARKA SİLECEK SÜPÜRGESİ VW GOLF V 2004-- PASSAT B8 SHARAN 2015-- TOURAN 2010-- T-ROC 2017-- SEAT IBIZA 2017-- LEON 2012-> SKODA FABIA III 2014-- PRAKTIK 2006-- 330mm		12106295 1T0955427B 5M0955427A 3397008713				
